case_nbr,messageid,severity,message,timestamp
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 02:00:45
209301297,LOG007,Informational,The previous log entry was repeated 4 times.,2025-04-17 02:00:45
209301297,PDR54,Informational,A disk media error on Disk 2 in Backplane 1 of RAID Controller in Slot 5 was corrected during recovery.,2025-04-17 03:27:28
209301297,LOG007,Informational,The previous log entry was repeated 13 times.,2025-04-17 03:27:28
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 03:27:32
209301297,LOG007,Informational,The previous log entry was repeated 13 times.,2025-04-17 04:34:34
209301297,PDR87,Informational,Disk 2 in Backplane 1 of RAID Controller in Slot 5 was reset.,2025-04-17 04:34:34
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 04:34:52
209301297,LOG007,Informational,The previous log entry was repeated 13 times.,2025-04-17 05:02:23
209301297,PDR54,Informational,A disk media error on Disk 2 in Backplane 1 of RAID Controller in Slot 5 was corrected during recovery.,2025-04-17 05:02:23
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 05:02:52
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and REDFISH.",2025-04-17 07:00:14
209301297,LOG007,Informational,The previous log entry was repeated 13 times.,2025-04-17 07:00:14
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 07:01:18
209301297,LOG007,Informational,The previous log entry was repeated 80 times.,2025-04-17 07:01:18
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and REDFISH.",2025-04-17 07:01:23
209301297,LOG007,Informational,The previous log entry was repeated 3 times.,2025-04-17 07:01:23
209301297,LOG007,Informational,The previous log entry was repeated 1 times.,2025-04-17 07:01:25
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 07:01:25
209301297,PDR16,Warning,Predictive failure reported for Disk 2 in Backplane 1 of RAID Controller in Slot 5. Part Number = PH-01W7HC-TB200-255-M3BU-A03,2025-04-17 07:50:48
209301297,LOG007,Informational,The previous log entry was repeated 6 times.,2025-04-17 07:50:48
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 07:50:53
209301297,PDR16,Warning,Predictive failure reported for Disk 2 in Backplane 1 of RAID Controller in Slot 5. Part Number = PH-01W7HC-TB200-255-M3BU-A03,2025-04-17 07:54:16
209301297,LOG007,Informational,The previous log entry was repeated 6 times.,2025-04-17 07:54:16
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 07:54:33
209301297,LOG007,Informational,The previous log entry was repeated 6 times.,2025-04-17 07:58:09
209301297,PDR54,Informational,A disk media error on Disk 2 in Backplane 1 of RAID Controller in Slot 5 was corrected during recovery.,2025-04-17 07:58:09
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 07:58:13
209301297,LOG007,Informational,The previous log entry was repeated 76 times.,2025-04-17 17:01:35
209301297,PDR54,Informational,A disk media error on Disk 2 in Backplane 1 of RAID Controller in Slot 5 was corrected during recovery.,2025-04-17 17:01:35
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 17:02:14
209301297,LOG007,Informational,The previous log entry was repeated 6 times.,2025-04-17 17:08:30
209301297,PDR54,Informational,A disk media error on Disk 2 in Backplane 1 of RAID Controller in Slot 5 was corrected during recovery.,2025-04-17 17:08:30
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-17 17:08:34
209301297,LOG007,Informational,The previous log entry was repeated 1 times.,2025-04-17 17:08:34
209301297,LOG007,Informational,The previous log entry was repeated 55 times.,2025-04-18 00:22:42
209301297,PDR54,Informational,A disk media error on Disk 2 in Backplane 1 of RAID Controller in Slot 5 was corrected during recovery.,2025-04-18 00:22:42
209301297,LOG007,Informational,The previous log entry was repeated 1 times.,2025-04-18 00:22:55
209301297,USR0030,Informational,"Successfully logged in using Administrator, from 10.105.28.88 and WS-MAN.",2025-04-18 00:22:55
209301297,LOG007,Informational,The previous log entry was repeated 6 times.,2025-04-18 00:22:58
